Date,ID,CCLnt,SCL,Weight,Water Column Depth,Easting,Northing
20-Nov-03,A011,31.4,NA,2.98,NA,343793,2079844
30-Sep-04,A011,41.2,39.5,6.8,1.1,361605,2068942
29-Nov-04,A011,41.6,39.1,6.9,1,NA,NA
20-Nov-03,A012,34.5,NA,4.04,NA,343819,2086795
20-Nov-03,A019,45.5,NA,9.22,0.9,352373,2091827
16-Feb-04,A019,NA,NA,NA,NA,358993,2069457
23-May-04,A019,NA,44.9,11.8,0.9,358868,2069491
30-Sep-04,A019,NA,48.6,17.55,1.3,359000,2069462
26-Nov-04,A019,55,50.8,17.6,1.1,358994,2069465
01-Mar-05,A019,57,51.4,19.2,0.9,NA,NA
20-Nov-03,A020,37.5,NA,NA,NA,353379,2096523
21-Nov-03,A021,42.3,NA,8.05,1.3,359475,2069192
21-Nov-03,A025,23,NA,1.23,NA,361455,2068750
19-May-04,A025,NA,25.9,2.04,0.8,361537,2068813
23-Sep-04,A025,31.1,29.2,2.76,1,361461,2068764
29-Nov-04,A025,32.2,30.5,3.2,1.4,NA,NA
20-Jun-05,A025,38,NA,NA,NA,NA,NA
24-Nov-03,A030,38,NA,5.16,NA,357466,2069879
24-Nov-03,A033,25.5,NA,1.88,NA,356744,2070019
24-Nov-03,A035,34.5,NA,4.56,NA,356824,2069992
30-Nov-03,A039,40.3,NA,7.34,NA,365747,2066996
30-Nov-03,A041,26,NA,1.76,NA,365518,2066893
09-Sep-05,A041,40,36.7,6.1,0.8,NA,NA
30-Nov-03,A042,33.5,NA,3.64,NA,365518,2066893
02-Dec-03,A045,44,NA,9.12,0.7,357875,2069973
10-Jul-05,A045,55.5,51.1,15.55,NA,NA,NA
02-Dec-03,A048,33.2,NA,4.4,1.3,362022,2068606
03-Dec-03,A051,49,NA,12.6,0.8,357585,2069870
03-Dec-03,A053,23.2,NA,1.32,1,356319,2070274
09-Dec-03,A059,32.5,NA,3.5,1.3,362505,2069008
23-Feb-04,A059,NA,32.5,NA,1.2,362329,2069094
18-Jul-04,A059,39.2,36.5,5.34,0.8,362494,2069004
25-Nov-04,A059,42.2,39.2,7.08,1.2,362550,2068946
09-Dec-03,A063,26.6,NA,1.88,1.3,362027,2068598
09-Dec-03,A064,40.6,NA,6.84,1.3,362027,2068598
11-Dec-03,A072,26.1,NA,1.88,0.6,357873,2072870
12-Dec-03,A076,26,NA,1.85,0.9,359465,2069483
13-Dec-03,A080,33.5,NA,3.6,0.9,365719,2066988
31-Aug-05,A080,44.4,40.3,7.5,1.6,365984,2067290
17-Feb-04,A088,32.5,30.4,3.18,0.6,362995,2068694
17-Feb-04,A089,38.2,36,5.86,0.6,362995,2068694
17-Feb-04,A090,39.4,36.3,6.18,0.6,362995,2068694
09-Dec-04,A090,47.1,43.3,10.12,0.8,NA,NA
17-Feb-04,A092,38.9,36.4,5.82,0.6,363153,2068593
19-May-05,A092,45.2,42,9.45,0.7,NA,NA
09-Sep-05,A092,48.5,44.6,10.95,0.8,NA,NA
23-Feb-04,A098,28.1,26.5,2.24,0.6,361914,2069253
15-Aug-05,A098,43.4,40.2,7.9,1.2,361035,2069650
23-Feb-04,A099,33.8,NA,3.78,0.6,362102,2069150
29-Nov-04,A099,43.4,41.2,8.1,0.9,NA,NA
23-Feb-04,A102,35,32.7,4.28,0.5,363598,2068318
29-Feb-04,A103,30.2,30.1,2.98,1.1,359937,2069008
29-Feb-04,A104,22.3,21.9,1.22,1.1,359937,2069008
25-Sep-04,A104,29.7,28.2,2.56,1.1,359904,2068989
29-Feb-04,A108,27,25.1,2.26,0.6,358766,2069479
23-May-04,A108,NA,28.2,2.96,0.6,358679,2069478
01-Mar-05,A108,40,37.5,6.85,0.7,NA,NA
17-Jun-05,A108,46,NA,NA,NA,NA,NA
07-Jul-05,A108,44.8,41.2,8.8,0.7,358785,2069452
22-Jul-05,A108,44,42,9.15,1,357974,2069695
29-Aug-05,A108,46.2,42.2,10.1,1,358741,2069437
10-Sep-05,A108,NA,NA,NA,1,NA,NA
18-May-04,A117,29.6,28.4,NA,0.4,365133,2067053
19-May-04,A120,26.2,24.3,1.9,0.8,361537,2068813
19-May-04,A121,38.3,36,6.02,0.8,361537,2068813
21-May-04,A123,37.6,35.7,4.85,4.6,361280,2066266
21-May-04,A126,29.6,27.8,2.78,3.6,361423,2066936
21-May-04,A127,41,36.6,7.32,4.3,361248,2067031
13-Jul-04,A138,27,25.5,1.9,0.5,357747,2072919
15-Jul-04,A145,47.8,44.3,10.8,3.4,357031,2073898
18-Jul-04,A155,28.5,26.5,2.44,0.5,362881,2068769
18-Jul-04,A156,35,33,4.12,0.5,364665,2067354
13-Jul-05,A156,45.5,42.1,9.8,0.3,359400,2070108
29-Jul-04,A159,87,NA,NA,NA,NA,NA
22-Sep-04,A160,38.8,36,5.68,0.8,361846,2069203
23-Jul-05,A160,44.6,41.8,8.1,0.9,362297,2069075
23-Sep-04,A164,36,33,5.1,0.5,361710,2069055
26-Jul-05,A164,44.9,41.8,9.6,0.9,361750,2069041
23-Sep-04,A167,35.6,32.9,4.4,0.7,361703,2068859
16-May-05,A167,42.7,NA,7.8,0.6,NA,NA
04-Aug-05,A167,45.9,41.6,9,0.5,361759,2069123
23-Sep-04,A168,33.4,31.3,4.04,0.7,361703,2068859
23-Sep-04,A169,33.5,31,3.56,0.8,361506,2068817
16-May-05,A169,40.5,NA,6.45,0.7,NA,NA
09-Jul-05,A169,42.5,38.2,7.36,0.9,361586,2068928
11-Aug-05,A169,42.7,39.3,7.65,0.8,361516,2068987
03-Sep-05,A169,43.7,39.7,7.75,0.5,361513,2068988
17-Sep-05,A169,43.7,39.9,NA,0.9,NA,NA
30-Sep-04,A176,34.6,32,4.08,1.3,359000,2069462
26-Nov-04,A176,36,33,4.9,1.1,358994,2069465
01-Mar-05,A176,37.3,34.5,5.15,0.9,NA,NA
18-May-05,A176,39.9,36.6,6.2,0.9,NA,NA
17-Jun-05,A176,43,NA,NA,NA,NA,NA
07-Jul-05,A176,41.4,38,7.05,0.8,358975,2069444
27-Nov-04,A189,34.8,33.3,4.1,NA,NA,NA
28-Nov-04,A204,59.1,55.6,20,0.9,359083,2069986
07-Jul-05,A204,60.5,56.7,21.5,0.8,359095,2069944
01-Mar-05,A219,42.2,38.9,7.65,0.9,NA,NA
18-May-05,A219,43.7,41.1,9.15,0.9,NA,NA
17-Jun-05,A219,47,NA,NA,NA,NA,NA
18-May-05,A230,30.4,28.3,2.85,0.9,NA,NA
07-Jul-05,A230,32.5,30.5,3.5,0.8,358975,2069444
07-Jul-05,A247,34.9,32.4,4.05,0.7,358785,2069452
10-Jul-05,A247,34.6,32.3,4.05,NA,NA,NA
01-Aug-05,A247,35,32.8,4.1,0.6,360659,2069387
24-Aug-05,A247,34.9,32.6,NA,1.2,358691,2069441
07-Jul-05,A248,48.1,44.3,10.3,0.8,359095,2069944
12-Aug-05,A248,47.7,45,10.35,0.8,358909,2070122
11-Jul-05,A257,31.4,29,3.2,1.3,357509,2069868
15-Aug-05,A257,33,30.4,3.6,0.8,357647,2069886
08-Sep-05,A257,NA,NA,NA,1.3,NA,NA
21-Sep-05,A257,34.3,32,4.26,1.2,NA,NA
20-Jun-05,A263,33.5,NA,NA,NA,NA,NA
25-Jul-05,A263,35.1,33,4.1,0.6,361752,2069114
19-Jul-05,A275,30.2,28.5,3.2,0.5,360252,2069597
12-Aug-05,A275,31.6,29.2,3.45,0.9,360191,2069627
18-Aug-05,A275,32.2,29.5,3.25,0.6,359755,2069959
23-Jul-05,A288,42.6,40.3,7.95,0.7,361272,2069563
01-Sep-05,A288,44.6,40.8,8.35,0.9,360796,2069560
08-Sep-05,A288,44.3,40.7,7.95,0.9,NA,NA
21-Nov-03,A028,24,NA,1.53,0.9,361522,2068818
20-Feb-04,A028,NA,NA,NA,1.2,361512,2068808
19-May-04,A028,NA,29.2,3.25,0.8,361537,2068813
23-Sep-04,A028,36.8,34.2,5.04,0.8,361506,2068817
16-May-05,A028,44.5,NA,8.6,0.5,NA,NA
